"state","HCCI_category","Year","spending_per_member","OOP_spending_per_member","adjusted_price","adjusted_utilization_per_1000","annual_pct_change_spending_per_member","annual_pct_change_adjusted_price","annual_pct_change_adjusted_utilization_per_1000"
"OR","IP",2015,937.62,"50.534","21,242.81","44.138",-0.052,0.012,-0.063
"OR","IP",2016,970.86,"51.211","22,253.54","43.627",0.035,0.048,-0.012
"OR","IP",2017,997.53,"50.741","23,106.75","43.171",0.027,0.038,-0.01
"OR","OP",2014,1243.48,"212.26","413.851","3,004.66",0,0,0
"OR","OP",2015,1294.43,"219.2","425.48","3,042.27",0.041,0.028,0.012
"OR","OP",2016,1333.92,"232.891","425.413","3,135.59",0.031,0,0.031
"OR","OP",2017,1437.45,"245.274","457.96","3,138.80",0.078,0.076,0.002
"OR","PH",2014,1637.53,"354.294","127.108","12,883.01",0,0,0
"OR","PH",2015,1695.86,"372.026","129.768","13,068.38",0.036,0.021,0.014
"OR","PH",2016,1766.61,"397.804","133.177","13,265.17",0.042,0.026,0.015
"OR","PH",2017,1827.42,"413.223","135.109","13,525.60",0.034,0.015,0.02
"OR","RX",2014,678.35,"118.054","84.57","8,021.16",0,0,0
"OR","RX",2015,772.78,"118.699","94.871","8,145.59",0.139,0.122,0.016
"OR","RX",2016,818.99,"117.521","101.94","8,033.97",0.06,0.075,-0.014
"OR","RX",2017,855.38,"114.913","105.626","8,098.16",0.044,0.036,0.008
"PA","IP",2014,1031.98,"46.492","17,700.94","58.301",0,0,0
"PA","IP",2015,1004.8,"46.311","17,475.88","57.496",-0.026,-0.013,-0.014
"PA","IP",2016,1055.43,"47.076","17,924.55","58.882",0.05,0.026,0.024
"PA","IP",2017,1075.44,"41.207","18,704.79","57.495",0.019,0.044,-0.024
"PA","OP",2014,1513.49,"239.578","384.556","3,935.69",0,0,0
"PA","OP",2015,1579.28,"249.554","388.423","4,065.89",0.043,0.01,0.033
"PA","OP",2016,1681.53,"270.739","398.003","4,224.92",0.065,0.024,0.04
"PA","OP",2017,1791.46,"258.598","427.623","4,189.34",0.065,0.077,-0.011
"PA","PH",2014,1393.93,"295.084","100.883","13,817.25",0,0,0
"PA","PH",2015,1447.57,"305.28","102.248","14,157.47",0.038,0.014,0.025
"PA","PH",2016,1553.99,"322.53","106.998","14,523.64",0.074,0.046,0.026
"PA","PH",2017,1621.29,"318.334","109.938","14,747.24",0.043,0.027,0.015
"PA","RX",2014,932.14,"160.335","96.782","9,631.31",0,0,0
"PA","RX",2015,1062.45,"157.585","107.421","9,890.55",0.14,0.11,0.027
"PA","RX",2016,1142.38,"160.234","113.004","10,109.21",0.075,0.052,0.022
"PA","RX",2017,1196.35,"157.997","115.509","10,357.22",0.047,0.022,0.025
"RI","IP",2014,1003.16,"31.361","16,639.73","60.287",0,0,0
"RI","IP",2015,969.76,"33.514","16,701.03","58.066",-0.033,0.004,-0.037
"RI","IP",2016,1111.95,"34.383","17,787.84","62.512",0.147,0.065,0.077
"RI","IP",2017,1099.58,"35.802","17,751.13","61.944",-0.011,-0.002,-0.009
"RI","OP",2014,1385.66,"166.919","236.401","5,861.47",0,0,0
"RI","OP",2015,1395.79,"166.011","238.202","5,859.70",0.007,0.007,0
"RI","OP",2016,1445.4,"177.016","236.54","6,110.62",0.036,-0.008,0.044
"RI","OP",2017,1459.55,"189.915","246.541","5,920.12",0.01,0.041,-0.028
"RI","PH",2014,1702.56,"282.386","94.534","18,009.93",0,0,0
"RI","PH",2015,1723,"289.89","96.338","17,884.93",0.012,0.019,-0.007
"RI","PH",2016,1845.54,"318.463","97.896","18,852.03",0.071,0.016,0.054
"RI","PH",2017,1920.15,"333.099","103.117","18,621.03",0.04,0.053,-0.012
"RI","RX",2014,865.34,"166.634","86.257","10,032.06",0,0,0
"RI","RX",2015,905.28,"167.652","92.348","9,802.93",0.046,0.071,-0.023
"RI","RX",2016,981.78,"164.314","99.291","9,887.91",0.085,0.075,0.009
"RI","RX",2017,1031.83,"160.589","101.122","10,203.86",0.051,0.018,0.032
"SC","IP",2014,1225.01,"58.991","21,948.25","55.814",0,0,0
"SC","IP",2015,1179.21,"59.011","22,102.81","53.351",-0.037,0.007,-0.044
"SC","IP",2016,1235.22,"60.153","22,488.85","54.926",0.047,0.017,0.03
"SC","IP",2017,1307.82,"64.545","23,482.07","55.694",0.059,0.044,0.014
"SC","OP",2014,1817.19,"296.646","683.482","2,658.72",0,0,0
"SC","OP",2015,1908.09,"314.628","721.03","2,646.33",0.05,0.055,-0.004
"SC","OP",2016,1994.58,"344.848","751.936","2,652.60",0.045,0.043,0.002
"SC","OP",2017,2049.69,"368.852","782.881","2,618.14",0.028,0.041,-0.013
"SC","PH",2014,1646.31,"394.631","100.255","16,421.29",0,0,0
"SC","PH",2015,1684.65,"411.638","102.556","16,426.61",0.023,0.023,0
"SC","PH",2016,1722.42,"435.81","105.389","16,343.47",0.022,0.028,-0.005
"SC","PH",2017,1752.48,"449.636","106.914","16,391.40",0.017,0.014,0.003
"SC","RX",2014,913.24,"185.53","87.205","10,472.29",0,0,0
"SC","RX",2015,994.93,"180.402","94.435","10,535.59",0.089,0.083,0.006
"SC","RX",2016,1049.24,"181.07","99.474","10,547.92",0.055,0.053,0.001
"SC","RX",2017,1120.76,"178.39","103.187","10,861.40",0.068,0.037,0.03
"SD","IP",2014,1203.93,"73.11","19,082.77","63.09",0,0,0
"SD","IP",2015,1494.08,"68.596","22,417.01","66.649",0.241,0.175,0.056
"SD","IP",2016,1497.76,"58.191","24,361.81","61.48",0.002,0.087,-0.078
"SD","IP",2017,1403.52,"58.906","25,015.55","56.106",-0.063,0.027,-0.087
"SD","OP",2014,1906.07,"295.616","811.395","2,349.12",0,0,0
"SD","OP",2015,2080.6,"310.255","857.362","2,426.74",0.092,0.056,0.034
"SD","OP",2016,2115.8,"287.765","897.348","2,357.84",0.017,0.048,-0.028
"SD","OP",2017,2212.5,"322.893","973.801","2,272.03",0.046,0.086,-0.037
"SD","PH",2014,1843.48,"444.256","130.303","14,147.65",0,0,0
"SD","PH",2015,1967.97,"460.739","131.514","14,963.95",0.068,0.009,0.058
"SD","PH",2016,1999.29,"459.49","130.193","15,356.40",0.016,-0.01,0.026
"SD","PH",2017,2148.28,"501.966","140.402","15,300.92",0.075,0.078,-0.004
"SD","RX",2014,676.16,"145.323","74.786","9,041.25",0,0,0
"SD","RX",2015,659.53,"129.85","79.968","8,247.46",-0.025,0.069,-0.088
"SD","RX",2016,673.63,"120.454","88.164","7,640.59",0.021,0.102,-0.074
"SD","RX",2017,957.46,"137.258","100.382","9,538.23",0.421,0.139,0.248
"TN","IP",2014,877.83,"59.841","15,333.09","57.251",0,0,0
"TN","IP",2015,923.03,"59.895","16,004.19","57.675",0.051,0.044,0.007
"TN","IP",2016,935.36,"63.035","16,296.89","57.395",0.013,0.018,-0.005
"TN","IP",2017,978.15,"65.974","16,890.14","57.913",0.046,0.036,0.009
"TN","OP",2014,1219.14,"235.839","496.344","2,456.25",0,0,0
"TN","OP",2015,1283.27,"253.847","510.269","2,514.90",0.053,0.027,0.025
"TN","OP",2016,1324.2,"271.429","519.994","2,546.57",0.032,0.019,0.013
"TN","OP",2017,1348.44,"295.335","545.038","2,474.03",0.018,0.049,-0.029
"TN","PH",2014,1640.82,"390.737","88.049","18,635.24",0,0,0
"TN","PH",2015,1707.98,"406.957","91.125","18,743.17",0.041,0.035,0.006
"TN","PH",2016,1761.95,"422.18","93.044","18,936.88",0.032,0.021,0.01
"TN","PH",2017,1810,"451.247","95.222","19,008.22",0.027,0.023,0.004
"TN","RX",2014,1007.26,"207.129","84.619","11,903.44",0,0,0
"TN","RX",2015,1073.38,"205.186","90.077","11,916.22",0.066,0.065,0.001
"TN","RX",2016,1141.73,"203.975","95.587","11,944.44",0.064,0.061,0.002
"TN","RX",2017,1177.53,"196.135","97.994","12,016.38",0.031,0.025,0.006
"TX","IP",2014,1092.61,"68.266","18,216.03","59.981",0,0,0
"TX","IP",2015,1120.36,"69.219","19,018.50","58.909",0.025,0.044,-0.018
"TX","IP",2016,1170.86,"71.037","19,737.67","59.321",0.045,0.038,0.007
"TX","IP",2017,1170.54,"72.68","20,267.89","57.754",0,0.027,-0.026
"TX","OP",2014,1445.87,"268.28","637.696","2,267.33",0,0,0
"TX","OP",2015,1535.14,"289.577","667.12","2,301.14",0.062,0.046,0.015
"TX","OP",2016,1689.22,"319.793","708.135","2,385.45",0.1,0.062,0.036
"TX","OP",2017,1740.98,"339.335","747.675","2,328.52",0.031,0.056,-0.024
"TX","PH",2014,1808.73,"393.386","99.789","18,125.61",0,0,0
"TX","PH",2015,1902.05,"418.295","103.116","18,445.85",0.052,0.033,0.018
"TX","PH",2016,1966.53,"432.392","105.901","18,569.58",0.034,0.027,0.007
"TX","PH",2017,1969.28,"444.045","107.4","18,335.89",0.001,0.014,-0.013
"TX","RX",2014,1023.74,"195.686","106.644","9,599.58",0,0,0
"TX","RX",2015,1095.18,"184.329","114.945","9,527.90",0.07,0.078,-0.007
"TX","RX",2016,1132.02,"181.341","118.348","9,565.15",0.034,0.03,0.004
"TX","RX",2017,1169.03,"176.521","114.253","10,231.97",0.033,-0.035,0.07
"UT","IP",2014,925.44,"74.513","14,494.70","63.847",0,0,0
"UT","IP",2015,902.96,"70.284","14,927.02","60.492",-0.024,0.03,-0.053
"UT","IP",2016,971.65,"72.223","15,580.35","62.364",0.076,0.044,0.031
"UT","IP",2017,947.06,"72.6","15,385.56","61.555",-0.025,-0.013,-0.013
"UT","OP",2014,1265.65,"250.964","543.796","2,327.43",0,0,0
"UT","OP",2015,1325.67,"263.574","558.945","2,371.75",0.047,0.032,0.016
"UT","OP",2016,1391.31,"272.864","553.673","2,512.88",0.05,-0.01,0.06
"UT","OP",2017,1401.95,"280.054","573.007","2,446.65",0.008,0.034,-0.025
"UT","PH",2014,1206.85,"307.464","95.17","12,680.96",0,0,0
"UT","PH",2015,1238.72,"320.473","97.523","12,701.83",0.026,0.025,0.002
"UT","PH",2016,1300.84,"314.322","101.114","12,865.08",0.05,0.037,0.013
"UT","PH",2017,1334.24,"325.774","104.165","12,808.89",0.026,0.03,-0.004
"UT","RX",2014,647.3,"142.359","87.141","7,428.17",0,0,0
"UT","RX",2015,680.61,"139.048","91.927","7,403.80",0.051,0.055,-0.003
"UT","RX",2016,786.98,"140.807","98.773","7,967.53",0.156,0.074,0.076
"UT","RX",2017,819.63,"140.843","100.45","8,159.63",0.041,0.017,0.024
"VA","IP",2014,924.78,"42.602","17,282.69","53.509",0,0,0
"VA","IP",2015,961.11,"42.865","18,146.12","52.965",0.039,0.05,-0.01
"VA","IP",2016,973.92,"44.519","18,270.71","53.305",0.013,0.007,0.006
"VA","IP",2017,1054.73,"47.308","19,683.18","53.585",0.083,0.077,0.005
"VA","OP",2014,1410.74,"205.715","574.122","2,457.22",0,0,0
"VA","OP",2015,1443.64,"222.148","588.149","2,454.54",0.023,0.024,-0.001
"VA","OP",2016,1505.35,"242.202","597.448","2,519.64",0.043,0.015,0.027
"VA","OP",2017,1568.66,"256.129","635.723","2,467.52",0.042,0.064,-0.02
"VA","PH",2014,1598.39,"323.632","96.394","16,581.90",0,0,0
"VA","PH",2015,1653.78,"343.519","99.093","16,689.25",0.035,0.028,0.006
"VA","PH",2016,1681.99,"364.673","100.935","16,664.11",0.017,0.019,-0.002
"VA","PH",2017,1751.05,"379.534","103.875","16,857.26",0.041,0.029,0.012
"VA","RX",2014,915.27,"159.434","94.34","9,701.85",0,0,0
"VA","RX",2015,977.26,"155.52","101.497","9,628.40",0.068,0.076,-0.008
"VA","RX",2016,1036.06,"158.482","106.585","9,720.52",0.06,0.05,0.01
"VA","RX",2017,1077.21,"153.267","109.154","9,868.71",0.04,0.024,0.015
"VT","IP",2014,793.18,"39.116","18,894.39","41.98",0,0,0
"VT","IP",2015,783.39,"38.984","18,131.19","43.207",-0.012,-0.04,0.029
"VT","IP",2016,887.67,"37.255","19,880.75","44.65",0.133,0.096,0.033
"VT","IP",2017,1054.77,"45.617","21,527.02","48.998",0.188,0.083,0.097
"VT","OP",2014,1815.1,"315.025","382.507","4,745.27",0,0,0
"VT","OP",2015,2000.11,"340.224","390.172","5,126.23",0.102,0.016,0.086
"VT","OP",2016,2129.6,"361.454","405.197","5,255.71",0.065,0.048,0.018
"VT","OP",2017,2162.04,"362.972","426.334","5,071.22",0.015,0.048,-0.031
"VT","PH",2014,1625.77,"369.257","152.924","10,631.21",0,0,0
"VT","PH",2015,1650.8,"376.116","153.411","10,760.66",0.015,0.003,0.012
"VT","PH",2016,1810.13,"389.685","163.818","11,049.66",0.097,0.068,0.027
"VT","PH",2017,2002.66,"411.352","176.399","11,353.01",0.106,0.077,0.027
"VT","RX",2014,785.87,"124.593","89.638","8,767.11",0,0,0
"VT","RX",2015,835.14,"123.324","96.441","8,659.57",0.063,0.076,-0.012
"VT","RX",2016,959.5,"130.976","109.16","8,789.86",0.149,0.132,0.015
"VT","RX",2017,877.81,"145.132","99.55","8,817.82",-0.085,-0.088,0.003
"WA","IP",2014,1044.95,"50.18","21,661.05","48.241",0,0,0
"WA","IP",2015,1033.31,"48.384","22,145.14","46.661",-0.011,0.022,-0.033
"WA","IP",2016,1024.33,"48.141","22,178.04","46.187",-0.009,0.001,-0.01
"WA","IP",2017,1090.33,"47.401","24,051.12","45.334",0.064,0.084,-0.018
"WA","OP",2014,1336.13,"199.879","552.47","2,418.47",0,0,0
"WA","OP",2015,1367.94,"204.462","567.812","2,409.14",0.024,0.028,-0.004
"WA","OP",2016,1422.95,"213.885","577.276","2,464.94",0.04,0.017,0.023
"WA","OP",2017,1502.83,"227.696","613.085","2,451.25",0.056,0.062,-0.005
"WA","PH",2014,1625.45,"357.817","107.731","15,088.06",0,0,0
"WA","PH",2015,1683.42,"365.972","110.074","15,293.55",0.036,0.022,0.014
"WA","PH",2016,1715.94,"374.921","112.241","15,288.06",0.019,0.02,0
"WA","PH",2017,1756.74,"379.988","114.423","15,353.10",0.024,0.019,0.004
"WA","RX",2014,757.89,"129.64","94.855","7,990.00",0,0,0
"WA","RX",2015,852.58,"129.222","104.561","8,153.91",0.125,0.102,0.021
"WA","RX",2016,907.77,"125.511","111.751","8,123.16",0.065,0.069,-0.004
"WA","RX",2017,993.66,"122.098","118.653","8,374.47",0.095,0.062,0.031
"WI","IP",2014,1035.34,"46.063","18,807.18","55.05",0,0,0
"WI","IP",2015,1029.13,"47.624","18,932.66","54.357",-0.006,0.007,-0.013
"WI","IP",2016,1106.41,"47.729","19,897.23","55.606",0.075,0.051,0.023
"WI","IP",2017,1100.67,"47.224","20,455.05","53.809",-0.005,0.028,-0.032
"WI","OP",2014,1577.3,"249.269","487.525","3,235.33",0,0,0
"WI","OP",2015,1650.84,"266.036","505.924","3,263.02",0.047,0.039,0.008
"WI","OP",2016,1784.85,"286.687","520.724","3,427.63",0.081,0.029,0.051
"WI","OP",2017,1851.88,"305.956","550.106","3,366.40",0.038,0.056,-0.018
"WI","PH",2014,2204.64,"455.147","160.52","13,734.35",0,0,0
"WI","PH",2015,2266.94,"477.229","165.087","13,731.82",0.028,0.028,0
"WI","PH",2016,2367.31,"490.019","168.985","14,008.99",0.044,0.024,0.02
"WI","PH",2017,2435.51,"510.095","174.917","13,923.75",0.029,0.035,-0.006
"WI","RX",2014,754.4,"162.736","77.341","9,754.14",0,0,0
"WI","RX",2015,810.84,"155.985","86.316","9,393.84",0.075,0.116,-0.037
"WI","RX",2016,894.17,"156.448","94.912","9,421.04",0.103,0.1,0.003
"WI","RX",2017,983.04,"157.945","99.471","9,882.66",0.099,0.048,0.049
"WV","IP",2014,1198.25,"49.682","20,394.00","58.755",0,0,0
"WV","IP",2015,1188.66,"49.076","21,316.76","55.762",-0.008,0.045,-0.051
"WV","IP",2016,1268.68,"50.104","21,359.24","59.397",0.067,0.002,0.065
"WV","IP",2017,1367.23,"58.038","23,814.04","57.413",0.078,0.115,-0.033
"WV","OP",2014,2201.52,"310.902","473.767","4,646.84",0,0,0
"WV","OP",2015,2229.14,"343.806","484.404","4,601.83",0.013,0.017,-0.003
"WV","OP",2016,2395.94,"387.227","504.423","4,749.86",0.075,0.043,0.031
"WV","OP",2017,2631.49,"412.418","540.267","4,870.73",0.098,0.075,0.023
"WV","PH",2014,1422.41,"300.661","98.859","14,388.21",0,0,0
"WV","PH",2015,1446.9,"320.771","100.23","14,435.77",0.017,0.014,0.003
"WV","PH",2016,1517.43,"345.49","103.842","14,612.82",0.049,0.036,0.012
"WV","PH",2017,1624.95,"363.482","110.263","14,737.05",0.071,0.062,0.009
"WV","RX",2014,938.15,"190.202","76.679","12,234.78",0,0,0
"WV","RX",2015,1008.76,"181.76","83.897","12,023.84",0.075,0.094,-0.017
"WV","RX",2016,1142.38,"186.918","90.902","12,567.12",0.132,0.083,0.045
"WV","RX",2017,1176.39,"188.435","90.824","12,952.40",0.03,-0.001,0.031
"WY","IP",2014,1299.04,"67.716","21,293.80","61.006",0,0,0
"WY","IP",2015,1438.26,"70.143","23,530.93","61.122",0.107,0.105,0.002
"WY","IP",2016,1395.73,"69.778","23,763.13","58.735",-0.03,0.01,-0.039
"WY","IP",2017,1199.3,"62.894","23,019.22","52.1",-0.141,-0.031,-0.113
"WY","OP",2014,1959.83,"278.988","578.21","3,389.47",0,0,0
"WY","OP",2015,2029.21,"290.245","600.848","3,377.25",0.035,0.038,-0.002
"WY","OP",2016,2271.33,"309.235","634.865","3,577.65",0.119,0.055,0.061
"WY","OP",2017,2189.71,"347.126","640.342","3,419.59",-0.036,0.01,-0.045
"WY","PH",2014,2308.73,"456.031","189.903","12,157.44",0,0,0
"WY","PH",2015,2404.63,"473.337","198.653","12,104.70",0.042,0.046,-0.004
"WY","PH",2016,2268.44,"450.558","190.052","11,935.89",-0.057,-0.043,-0.014
"WY","PH",2017,2267.27,"477.722","194.813","11,638.20",-0.001,0.025,-0.025
"WY","RX",2014,757.25,"159.672","86.902","8,713.87",0,0,0
"WY","RX",2015,775.64,"144.652","91.474","8,479.30",0.024,0.053,-0.027
"WY","RX",2016,917.76,"150.416","103.988","8,825.58",0.183,0.137,0.041
"WY","RX",2017,1002.88,"149.751","108.459","9,246.70",0.093,0.043,0.048
